,precision    ,recall ,f1-score  ,support
application fee,0.92,0.86,0.89,66
course fee,0.85,0.85,0.85,88
deposit fee,0.95,0.92,0.94,78
donation,0.99,0.92,0.95,73
membership,0.96,0.96,0.96,84
product fee,0.89,0.87,0.88,71
registration fee,0.79,0.84,0.82,69
service fee,0.76,0.85,0.81,75
subscription,0.95,0.94,0.94,79
accuracy                          ,,,0.89,683
macro avg       ,0.9,0.89,0.89,683
weighted avg      ,0.9,0.89,0.89,683
